areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
K02000001,United Kingdom,overview,2023-12-01,216
K02000001,United Kingdom,overview,2023-11-24,217
K02000001,United Kingdom,overview,2023-11-17,292
K02000001,United Kingdom,overview,2023-11-10,370
K02000001,United Kingdom,overview,2023-11-03,373
K02000001,United Kingdom,overview,2023-10-27,364
K02000001,United Kingdom,overview,2023-10-20,344
K02000001,United Kingdom,overview,2023-10-13,407
K02000001,United Kingdom,overview,2023-10-06,298
K02000001,United Kingdom,overview,2023-09-29,274
K02000001,United Kingdom,overview,2023-09-22,306
K02000001,United Kingdom,overview,2023-09-15,290
K02000001,United Kingdom,overview,2023-09-08,259
K02000001,United Kingdom,overview,2023-09-01,180
K02000001,United Kingdom,overview,2023-08-25,240
K02000001,United Kingdom,overview,2023-08-18,153
K02000001,United Kingdom,overview,2023-08-11,133
K02000001,United Kingdom,overview,2023-08-04,80
K02000001,United Kingdom,overview,2023-07-28,71
K02000001,United Kingdom,overview,2023-07-21,83
K02000001,United Kingdom,overview,2023-07-14,81
K02000001,United Kingdom,overview,2023-07-07,109
K02000001,United Kingdom,overview,2023-06-30,142
K02000001,United Kingdom,overview,2023-06-23,174
K02000001,United Kingdom,overview,2023-06-16,174
K02000001,United Kingdom,overview,2023-06-09,230
K02000001,United Kingdom,overview,2023-06-02,209
K02000001,United Kingdom,overview,2023-05-26,282
K02000001,United Kingdom,overview,2023-05-19,358
K02000001,United Kingdom,overview,2023-05-12,353
K02000001,United Kingdom,overview,2023-05-05,367
K02000001,United Kingdom,overview,2023-04-28,532
K02000001,United Kingdom,overview,2023-04-21,615
K02000001,United Kingdom,overview,2023-04-14,547
K02000001,United Kingdom,overview,2023-04-07,595
K02000001,United Kingdom,overview,2023-03-31,730
K02000001,United Kingdom,overview,2023-03-24,703
K02000001,United Kingdom,overview,2023-03-17,619
K02000001,United Kingdom,overview,2023-03-10,605
K02000001,United Kingdom,overview,2023-03-03,566
K02000001,United Kingdom,overview,2023-02-24,476
K02000001,United Kingdom,overview,2023-02-17,477
K02000001,United Kingdom,overview,2023-02-10,496
K02000001,United Kingdom,overview,2023-02-03,543
K02000001,United Kingdom,overview,2023-01-27,661
K02000001,United Kingdom,overview,2023-01-20,883
K02000001,United Kingdom,overview,2023-01-13,1060
K02000001,United Kingdom,overview,2023-01-06,842
K02000001,United Kingdom,overview,2022-12-30,460
K02000001,United Kingdom,overview,2022-12-23,514
K02000001,United Kingdom,overview,2022-12-16,435
K02000001,United Kingdom,overview,2022-12-09,381
K02000001,United Kingdom,overview,2022-12-02,372
K02000001,United Kingdom,overview,2022-11-25,400
K02000001,United Kingdom,overview,2022-11-18,471
K02000001,United Kingdom,overview,2022-11-11,583
K02000001,United Kingdom,overview,2022-11-04,708
K02000001,United Kingdom,overview,2022-10-28,718
K02000001,United Kingdom,overview,2022-10-21,737
K02000001,United Kingdom,overview,2022-10-14,625
K02000001,United Kingdom,overview,2022-10-07,449
K02000001,United Kingdom,overview,2022-09-30,343
K02000001,United Kingdom,overview,2022-09-23,274
K02000001,United Kingdom,overview,2022-09-16,348
K02000001,United Kingdom,overview,2022-09-09,414
K02000001,United Kingdom,overview,2022-09-02,350
K02000001,United Kingdom,overview,2022-08-26,505
K02000001,United Kingdom,overview,2022-08-19,622
K02000001,United Kingdom,overview,2022-08-12,675
K02000001,United Kingdom,overview,2022-08-05,802
K02000001,United Kingdom,overview,2022-07-29,923
K02000001,United Kingdom,overview,2022-07-22,864
K02000001,United Kingdom,overview,2022-07-15,696
K02000001,United Kingdom,overview,2022-07-08,529
K02000001,United Kingdom,overview,2022-07-01,413
K02000001,United Kingdom,overview,2022-06-24,347
K02000001,United Kingdom,overview,2022-06-17,309
K02000001,United Kingdom,overview,2022-06-10,335
K02000001,United Kingdom,overview,2022-06-03,211
K02000001,United Kingdom,overview,2022-05-27,469
K02000001,United Kingdom,overview,2022-05-20,615
K02000001,United Kingdom,overview,2022-05-13,796
K02000001,United Kingdom,overview,2022-05-06,839
K02000001,United Kingdom,overview,2022-04-29,1249
K02000001,United Kingdom,overview,2022-04-22,1185
K02000001,United Kingdom,overview,2022-04-15,1152
K02000001,United Kingdom,overview,2022-04-08,1134
K02000001,United Kingdom,overview,2022-04-01,1063
